PLAYER_ID,PLAYER_NAME,POSITION,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS,RANKING
1629627,Zion Williamson,PF,,,,,,,1
1629630,Ja Morant,PG,,,,,,,1
1629628,RJ Barrett,SF,,,,,,,1
1629631,De'Andre Hunter,,,,,,,,1
1629636,Darius Garland,PG,,,,,,,1
1629633,Jarrett Culver,SG,,,,,,,2
1629632,Coby White,PG,,,,,,,2
1629637,Jaxson Hayes,PF,27.0,34.5,11.74,3.23,3.37,5,2
1629661,Cameron Johnson,SG,30.5,36.5,10.52,3.28,3.26,,3
1629023,P.J. Washington,PF,,,,,,,3
1629639,Tyler Herro,SG,,,,,,,3
1629641,Romeo Langford,SG,,,,,,,3
1629643,Chuma Okeke,,,,,,,,4
1629638,Nickeil Alexander-Walker,SG,,,,,,,4
1629677,Luka Samanic,PF,27.0,38.0,11.01,3.03,3.27,7,4
1629634,Brandon Clarke,SF,34.0,40.5,10.61,3.05,3.15,10,5
1629684,Grant Williams,PF,26.0,31.5,10.83,3.27,3.33,20,5
1629647,Darius Bazley,PF,30.5,37.0,11.09,2.95,3.27,4,5
1629660,Ty Jerome,PG,26.0,31.5,11.21,3.12,3.4,2,5
1629642,Nassir Little,SF,31.0,38.5,12.15,3.1,3.24,5,5
1629685,Dylan Windler,SF,29.0,37.5,10.7,2.94,3.3,8,6
1629662,Mfiondu Kabengele,PF,28.0,35.5,11.21,3.3,3.25,6,6
1629673,Jordan Poole,SG,28.0,35.5,10.59,3.14,3.27,,6
1629640,Keldon Johnson,SG,,,,,,,6
1629645,Kevin Porter Jr.,SG,27.0,34.0,10.82,3.03,3.14,2,6
1629644,KZ Okpala,SF,30.5,37.0,10.88,3.13,3.38,9,7
1629654,Carsen Edwards,PG,28.5,34.0,10.53,2.82,3.22,14,7
1628981,Bruno Fernando,C,29.5,33.5,11.29,3.05,3.21,13,7
1628998,Cody Martin,PG-SG,28.0,35.5,10.44,2.99,3.32,7,8
1629655,Daniel Gafford,PF,32.5,36.5,11.61,3.19,3.25,5,8
1629672,Eric Paschall,SF,33.0,38.0,11.63,3.26,3.3,18,9
1629678,Admiral Schofield,SF,30.0,34.0,10.77,2.87,3.37,15,9
1629669,Jaylen Nowell,SG,32.0,38.5,10.76,3.13,3.23,2,9
1629626,Bol Bol,C,,,,,,,9
1629676,Isaiah Roby,PF,32.5,35.5,10.63,3.05,3.25,9,9
1629659,Talen Horton-Tucker,SG,26.0,34.5,11.34,3.43,3.34,10,10
1629649,Ignas Brazdeikis,SF,31.0,36.5,11.06,3.17,3.36,13,10
1629611,Terance Mann,SG-SF,32.5,38.5,11.51,3.14,3.3,6,10
1629683,Quinndary Weatherspoon,SG,31.0,38.0,11.57,3.15,3.16,,10
1629682,Tremont Waters,PG,30.5,40.5,10.76,3.11,3.07,5,11
1629667,Jalen McDaniels,SF,29.5,33.5,11.54,3.23,3.32,0,11
1629621,Marial Shayok,SF-PF,29.5,36.5,11.16,3.04,3.37,9,11
1629657,Kyle Guy,SG,30.5,36.5,10.48,3.07,3.27,4,11
1628986,Jaylen Hands,PG,33.0,41.5,10.73,3.03,3.12,6,12
1629648,Jordan Bone,SG,36.0,42.5,9.97,2.78,3.08,7,12
1629671,Miye Oni,SG,30.5,38.5,11.71,3.12,3.17,19,12
1629608,Dewan Hernandez,C,30.5,35.5,11.46,3.25,3.28,13,12
