player_name,YEAR,OVERALL,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,label
Cade Cunningham,2021.0,1,0.8076923076923077,0.733615221987315,0.7447916666666667,0.671001300390117,0.7562516451697815,0.0970464135021097,0.49541284403669716,0.3892100192678227,0.6606606606606608,0.5116279069767442,0.48148148148148145,0.884012539184953,0.3665594855305466,0.458955223880597,0.57875,0.4217687074829932,0.40789473684210525,0.4,0.1256830601092896,0.3787878787878788,0.3488789237668161,0.1636332251610676,0.27125506072874495,0.34294871794871795,0.3150684931506849,0.43174603174603177,0.6934167877500838,0.3358,0.06542056074766354,0.0782608695652174,0.7778,0.0,0.48939526867835914,0.3345163533755926,0.7947916208378143,0.5755712224060274,0.6443956559106181,0.5693620357294358,0.5877593752368095,0.6477747007744661,0.8973393351728312,0.6161966030612759,0.6045412714503666,0.12238260869565218,0.519923360745146,1
Evan Mobley,2021.0,3,0.8659043659043658,0.8414376321353065,0.609375,0.7737321196358907,0.8212687549355093,0.4092827004219409,0.5749235474006116,0.27167630057803466,0.4984984984984986,0.5193798449612403,0.595679012345679,0.7251828631138976,0.594855305466238,0.5615671641791045,0.7687499999999999,0.08163265306122448,0.10526315789473684,0.3,0.4754098360655737,0.21212121212121213,0.5076233183856502,0.20662482885724592,0.4574898785425101,0.4583333333333333,0.4931506849315068,0.49523809523809526,0.8770537610372191,0.4586,0.5887850467289719,0.5739130434782609,0.9545,0.03389830508474576,0.3410930409948947,0.21789156734545861,0.8890489629931462,0.7106248204160898,0.8541511055551215,0.6947436813024545,0.8229769551124781,0.8112461863412345,0.8590541365227233,0.7377101284123458,0.7884694692234088,0.47431304347826087,0.5633554335144979,1
Scottie Barnes,2021.0,4,0.6091476091476091,0.7575757575757576,0.6588541666666667,0.6905071521456436,0.7209792050539615,0.31223628691983124,0.33639143730886845,0.6088631984585742,0.6726726726726727,0.15891472868217055,0.2037037037037037,0.6489028213166145,0.2797427652733119,0.2891791044776119,0.70125,0.07482993197278912,0.10526315789473684,0.275,0.11475409836065574,0.5151515151515151,0.3031390134529148,0.3214889028153415,0.24696356275303644,0.28205128205128205,0.1780821917808219,0.20634920634920634,0.7660668380462725,0.3939,0.17757009345794392,0.1826086956521739,0.9048,0.05084745762711865,0.5250819403260952,0.37421361715186446,0.5317327420616592,0.3313490448008913,0.7063167434955856,0.6631107268851385,0.6004112490480595,0.6406940467808809,0.6204836244712313,0.5830082326538679,0.6356053234086554,0.2536173913043478,0.24108167581974602,1
Jalen Suggs,2021.0,5,0.6985446985446986,0.7780126849894292,0.6588541666666667,0.7269180754226268,0.7816530665964727,0.1139240506329114,0.5504587155963302,0.45664739884393063,0.6456456456456457,0.3333333333333333,0.35185185185185186,0.787878787878788,0.38263665594855306,0.3787313432835821,0.7324999999999999,0.23809523809523808,0.2736842105263158,0.337,0.06010928961748634,0.5303030303030303,0.3327354260089686,0.2991214489699093,0.39271255060728744,0.483974358974359,0.14383561643835616,0.1523809523809524,0.7133117246004247,0.4286,0.08411214953271028,0.08695652173913043,0.9,0.06779661016949153,0.33601651562918977,0.25201515275306224,0.734904912353007,0.5798446662314584,0.7393021329791389,0.6581416827307727,0.6621088176159917,0.6811640459985919,0.7284958715620257,0.5915926347980789,0.7111868644288738,0.10434782608695652,0.44895616955486634,1
Franz Wagner,2021.0,8,0.816008316008316,0.8421423537702607,0.5052083333333334,0.7074122236671001,0.7719136614898657,0.12236286919831224,0.599388379204893,0.3352601156069364,0.3753753753753754,0.2558139534883721,0.24382716049382716,0.8725182863113897,0.2861736334405145,0.2947761194029851,0.7037499999999999,0.23809523809523808,0.26842105263157895,0.343,0.17486338797814208,0.34848484848484845,0.2726457399103139,0.451617966889017,0.2550607287449393,0.2948717948717949,0.1780821917808219,0.20317460317460317,0.7571252933944338,0.4,0.102803738317757,0.09565217391304348,1.0,0.11864406779661017,0.3633724789844866,0.2235489405627083,0.832816346634759,0.5574028384230548,0.8015719978123291,0.6884112912319513,0.7388955501584642,0.7476836423374795,0.80009284421471,0.6354284158342925,0.7938740034522385,0.12422608695652175,0.5521630670878032,2
Davion Mitchell,2021.0,9,0.8367983367983368,0.8604651162790697,0.5625000000000001,0.7971391417425226,0.8160042116346407,0.07172995780590717,0.24770642201834858,0.5452793834296725,0.6036036036036037,0.16666666666666666,0.2037037037037037,0.6812957157784745,0.3054662379421222,0.31343283582089554,0.7062499999999999,0.42857142857142855,0.37105263157894736,0.447,0.07103825136612021,0.5151515151515151,0.19192825112107623,0.43747840265975757,0.2834008097165992,0.3525641025641026,0.17123287671232876,0.17777777777777778,0.704817257181178,0.4386,0.018691588785046728,0.017391304347826087,1.0,0.13559322033898305,0.46480666248395675,0.35359080791434433,0.7230291129421419,0.5106420885723352,0.7360068755371513,0.7801501345089217,0.5343249458663613,0.713731049049519,0.82064636264533,0.6888980298220522,0.6456634047143572,0.08116521739130435,0.2086712384638003,2
Ziaire Williams,2021.0,10,0.5239085239085239,0.5990133897110641,0.671875,0.5604681404421327,0.6224006317451961,0.10126582278481013,0.5015290519877675,0.3159922928709056,0.6966966966966968,0.1511627906976744,0.15123456790123457,0.8317659352142112,0.17041800643086816,0.23134328358208955,0.53375,0.1564625850340136,0.20789473684210527,0.291,0.12021857923497269,0.25757575757575757,0.21614349775784755,0.1468298194524388,0.10526315789473684,0.15384615384615385,0.18493150684931506,0.23492063492063492,0.5930479490331954,0.36,0.09345794392523364,0.09565217391304348,0.9091,0.15254237288135594,0.53890310605252,0.37570617528491135,0.5928154327541842,0.3052502153563002,0.452960293772951,0.2960114480247862,0.5321472391978601,0.4064385199092545,0.7015475774440717,0.30797015081570717,0.5130698174268296,0.08695652173913043,0.3841447798992687,2
James Bouknight,2021.0,11,0.5311850311850311,0.7484143763213531,0.7864583333333334,0.6475942782834849,0.7182153198210055,0.22362869198312235,0.4587155963302752,0.24662813102119463,0.5315315315315315,0.2441860465116279,0.25,0.8129571577847441,0.24437299035369775,0.26865671641791045,0.66,0.14965986394557823,0.19736842105263158,0.293,0.04918032786885246,0.33333333333333337,0.33183856502242154,0.12442397141073346,0.21052631578947367,0.25,0.1643835616438356,0.20317460317460317,0.7356655862300212,0.3692,0.11214953271028037,0.10434782608695652,1.0,0.1694915254237288,0.5268313890675074,0.3936467638988251,0.6629940240040602,0.23692759503848895,0.586438002968982,0.6072967733967664,0.4501223482041175,0.663675819447704,0.7997824941711567,0.678160017364543,0.5523480029768615,0.2666608695652174,0.39204583179201175,3
Joshua Primo,2021.0,12,0.525987525987526,0.7498238195912614,0.44010416666666663,0.7035110533159947,0.7437483548302184,0.19831223628691985,0.3211009174311926,0.1252408477842004,0.5795795795795796,0.12790697674418605,0.13580246913580246,0.7836990595611285,0.13183279742765272,0.15298507462686567,0.625,0.2925170068027211,0.29736842105263156,0.381,0.07103825136612021,0.196969696969697,0.20269058295964126,0.11800971353617322,0.14979757085020243,0.1987179487179487,0.0273972602739726,0.05714285714285714,0.6564211467531016,0.2105,0.028037383177570093,0.02608695652173913,1.0,0.1864406779661017,0.5393899318183594,0.3758416812302347,0.48328920564202554,0.3267840404805479,0.5570969607000548,0.49492517437833256,0.5121372750612279,0.4924843933348979,0.5598480067181656,0.4447774586526199,0.508068202364289,0.17970434782608696,0.22131481850344784,3
Chris Duarte,2021.0,13,0.8191268191268191,0.8470754052149401,0.5859375,0.8231469440832249,0.8650960779152409,0.11814345991561181,0.4281345565749235,0.28709055876685935,0.5255255255255256,0.24806201550387597,0.24382716049382716,0.8463949843260189,0.3183279742765273,0.292910447761194,0.78875,0.41496598639455784,0.37894736842105264,0.424,0.1530054644808743,0.5,0.23497757847533632,0.2230770680893403,0.2550607287449393,0.28525641025641024,0.2465753424657534,0.20952380952380953,0.7823851570358779,0.5373,0.1308411214953271,0.13043478260869565,0.9333,0.2033898305084746,0.5535755660325782,0.3782608609011544,0.736150950617251,0.49813275495728226,0.7397052894757403,0.7463747026574238,0.5744905203654807,0.7413752640225301,0.8626401139167219,0.7408739248905994,0.6328438034756687,0.13377391304347827,0.3684564967893084,3
