PLAYER_ID,PLAYER_NAME,POSITION,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS,RANKING
1630595,Cade Cunningham,PG,,,,,,,1
1630224,Jalen Green,SG,,,,,,,1
1630596,Evan Mobley,PF,,,,,,,1
1630567,Scottie Barnes,SF,36.0,39.5,10.88,2.99,3.15,,1
1630228,Jonathan Kuminga,SF,,,,,,,2
1630558,Davion Mitchell,PG,,,,,,,2
1630533,Ziaire Williams,SF,34.0,39.5,10.69,3.04,3.12,,2
1630547,James Bouknight,SG,,,,,,,3
1630563,Joshua Primo,SG,30.5,37.5,10.97,3.36,3.22,,3
1630541,Moses Moody,SG,,,,,,,3
1630557,Corey Kispert,SF,30.0,37.5,10.91,2.99,3.12,,3
1630530,Trey Murphy III,SF,34.0,38.0,11.65,3.32,3.14,,4
1630544,Tre Mann,PG,,,,,,,4
1630539,Kai Jones,PF,,,,,,,4
1630552,Jalen Johnson,PF,,,,,,,4
1630553,Keon Johnson,SG,41.5,48.0,11.45,3.2,3.0,,5
1630543,Isaiah Jackson,C,,,,,,,5
1630528,Josh Christopher,SG,29.5,37.5,11.32,3.3,3.14,,5
1629656,Quentin Grimes,SG,30.5,38.5,11.09,3.33,3.07,,5
1630560,Cam Thomas,SG,,,,,,,6
1630531,Jaden Springer,SG,34.5,41.5,11.46,3.1,3.13,,6
1630549,Day'Ron Sharpe,C,,,,,,,6
1630225,Isaiah Todd,PF,28.5,35.5,11.38,3.25,3.31,,7
1630526,Jeremiah Robinson-Earl,PF,27.0,32.0,11.64,3.15,3.29,,7
1630554,Jason Preston,PG,30.5,38.5,10.82,3.08,3.13,,7
1630529,Herbert Jones,SF,28.5,36.5,11.02,3.17,3.25,,7
1630540,Miles McBride,PG,31.0,38.5,11.08,3.13,3.1,,8
1630550,JT Thor,PF,31.5,35.0,12.19,3.08,3.06,,8
1630245,Ayo Dosunmu,SG,27.0,33.5,11.51,3.27,3.23,,8
1629674,Neemias Queta,C,27.0,33.0,11.85,3.5,3.29,,8
1630215,Jared Butler,PG,,,,,,,8
1630580,Joe Wieskamp,SF,30.0,42.0,10.7,3.18,3.04,,9
1630587,Isaiah Livers,SF,,,,,,,9
1630535,Greg Brown III,PF,33.5,39.0,10.98,2.98,3.19,,9
1630556,Kessler Edwards,PF,28.0,37.0,11.3,3.38,3.25,,9
1630525,David Johnson,SG,33.0,39.0,12.02,3.2,3.03,,10
1630536,Sharife Cooper,PG,,,,,,,10
1630681,Marcus Zegarowski,PG,30.0,35.5,11.47,3.26,3.11,,10
1630527,Brandon Boston Jr.,SF,,,,,,,11
1630568,Luka Garza,C,24.0,29.5,11.9,3.38,3.51,,11
1629646,Charles Bassey,C,33.0,36.0,12.19,3.33,3.13,,11
1630572,Sandro Mamukelashvili,C,30.5,36.5,11.63,3.3,3.21,,11
1630598,Aaron Wiggins,SG-SF,29.5,36.0,11.2,3.0,3.04,,11
1630575,Scottie Lewis,SF,34.0,42.0,10.45,3.03,2.98,,12
1630579,Jericho Sims,C,37.0,44.5,11.59,3.38,3.05,,12
1630564,RaiQuan Gray,PF,26.5,31.5,11.69,3.3,3.25,,12
