PLAYER_ID,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN_FT_IN,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,RANKING
1631094,Paolo Banchero,PF,,,,,,,,,1
1631096,Chet Holmgren,PF,,,,,,,,,1
1631099,Keegan Murray,PF,,,,,,,,,1
1631093,Jaden Ivey,PG,,,,,,,,,1
1631097,Bennedict Mathurin,SG,6' 4.50'',6' 6.00'',204.60,6' 9.00'',8' 8.00'',5.7,8.5,9.75,2
1631101,Shaedon Sharpe,SG,6' 4.25'',6' 5.25'',198.00,6' 11.50'',8' 7.50'',4.8,9.0,9.25,2
1630700,Dyson Daniels,SG,6' 6.00'',6' 7.50'',195.20,6' 10.50'',8' 9.00'',4.9,8.5,9.75,2
1631110,Jeremy Sochan,PF,,,,,,,,,2
1631098,Johnny Davis,PG,6' 4.25'',6' 5.75'',196.40,6' 8.50'',8' 7.50'',6.7,8.5,10.25,2
1631172,Ousmane Dieng,SF,,,,,,,,,3
1631114,Jalen Williams,SG,6' 4.50'',6' 5.75'',209.20,7' 2.25'',8' 9.50'',8.9,8.5,9.5,3
1631105,Jalen Duren,C,,,,,,,,,3
1630534,Ochai Agbaji,SG,6' 4.50'',6' 5.75'',216.80,6' 10.25'',8' 8.00'',5.4,8.75,9.5,3
1631109,Mark Williams,C,7' 0.00'',7' 2.00'',242.40,7' 6.50'',9' 9.00'',5.4,9.0,9.75,3
1631100,AJ Griffin,SF,,,,,,,,,4
1631106,Tari Eason,PF,6' 6.75'',6' 8.00'',217.40,7' 2.00'',8' 11.50'',5.9,9.25,11.0,4
1631207,Dalen Terry,SG,6' 6.00'',6' 7.25'',195.20,7' 0.75'',8' 10.00'',5.4,8.5,9.0,4
1631222,Jake LaRavia,PF,6' 6.75'',6' 8.00'',227.20,6' 9.50'',8' 8.00'',9.0,8.5,10.25,4
1631103,Malaki Branham,SG,6' 4.00'',6' 5.50'',194.80,6' 10.00'',8' 6.50'',6.1,8.5,9.75,4
1631128,Christian Braun,SG,6' 5.50'',6' 7.00'',209.20,6' 6.50'',8' 3.50'',6.2,8.0,8.5,5
1631117,Walker Kessler,C,7' 0.25'',7' 1.00'',256.00,7' 4.25'',9' 5.00'',14.7,8.5,8.5,5
1631223,David Roddy,PF,6' 4.50'',6' 6.00'',260.80,6' 11.50'',8' 9.00'',11.6,8.75,10.0,5
1630699,MarJon Beauchamp,SG,6' 5.25'',6' 6.50'',196.60,7' 0.75'',8' 10.00'',5.3,9.0,9.0,5
1631104,Blake Wesley,SG,6' 3.00'',6' 4.25'',187.20,6' 9.25'',8' 7.00'',5.6,8.25,9.0,5
1631107,Nikola Jovic,SF,6' 9.50'',6' 11.00'',222.60,7' 0.25'',9' 0.50'',7.4,8.75,9.75,6
1631116,Patrick Baldwin Jr.,SF,6' 9.25'',6' 10.25'',230.80,7' 1.75'',9' 2.50'',8.9,8.75,9.5,6
1631102,TyTy Washington Jr.,SG,6' 2.25'',6' 3.75'',196.40,6' 8.00'',8' 3.50'',12.0,8.5,9.25,6
1631212,Peyton Watson,SF,6' 6.75'',6' 8.00'',203.40,7' 0.50'',8' 11.50'',5.2,8.5,9.5,6
1629614,Andrew Nembhard,PG,6' 3.00'',6' 4.50'',195.60,6' 5.75'',8' 3.00'',4.4,8.0,9.5,7
1631132,Christian Koloko,C,6' 10.75'',7' 0.00'',221.00,7' 5.25'',9' 5.00'',5.7,9.0,10.75,7
1631119,Jaylin Williams,C,6' 8.75'',6' 10.00'',236.60,7' 1.00'',9' 0.50'',8.0,8.5,10.5,7
1631108,Max Christie,SG,6' 4.25'',6' 5.75'',189.20,6' 8.75'',8' 6.50'',4.8,8.0,8.5,7
1630629,Gabriele Procida,SG-SF,6' 5.75'',6' 7.75'',192.80,6' 8.00'',8' 10.00'',3.8,8.0,9.25,8
1630702,Jaden Hardy,SG,,,,,,,,,8
1631113,Kennedy Chandler,PG,5' 11.50'',6' 0.50'',172.20,6' 5.25'',8' 1.00'',4.4,8.5,9.5,8
1631215,Khalifa Diop,C,,,,,,,,,8
1631121,Bryce McGowens,SG,6' 5.25'',6' 6.50'',181.20,6' 8.75'',8' 7.50'',5.4,8.75,9.5,8
1630604,E.J. Liddell,PF,6' 5.50'',6' 7.00'',243.00,6' 11.75'',8' 7.50'',12.2,8.25,9.25,9
1631211,Trevor Keels,SG,6' 3.25'',6' 4.75'',223.80,6' 7.25'',8' 5.00'',13.5,8.25,9.0,9
1631217,Moussa Diabate,C,6' 9.25'',6' 10.25'',216.60,7' 2.50'',9' 1.50'',2.7,8.5,10.5,9
1631157,Ryan Rollins,SG,6' 2.00'',6' 3.25'',179.20,6' 9.75'',8' 4.50'',5.0,8.0,8.5,9
1631130,Ismael Kamagate,PF,,,,,,,,,10
1631112,Kendall Brown,SF,6' 6.25'',6' 7.50'',201.20,6' 11.00'',8' 7.00'',4.9,9.0,9.0,10
1631164,Matteo Spagnolo,PG,6' 4.00'',6' 5.50'',196.20,6' 8.00'',8' 6.00'',8.6,8.25,10.0,10
1631213,Tyrese Martin,SG-SF,,,,,,,,,11
1631120,JD Davison,PG,6' 0.50'',6' 2.50'',191.80,6' 6.50'',8' 3.50'',7.8,8.5,9.5,11
1631133,Jabari Walker,PF,6' 6.75'',6' 8.00'',213.80,6' 10.75'',8' 9.00'',12.1,8.75,9.75,12
1630656,Hugo Besson,SG,6' 4.50'',6' 5.75'',180.40,6' 5.50'',8' 6.00'',8.8,7.5,8.5,12
