PLAYER_ID,PLAYER_NAME,POSITION,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS
203915,Spencer Dinwiddie,PG,,,,,,
203921,Cleanthony Early,SF,34.0,40.0,11.15,2.96,3.18,
203929,Melvin Ejim,SF,29.5,35.0,11.55,3.12,3.14,
203898,Tyler Ennis,PG,29.0,36.0,11.12,2.84,3.3,
203957,Dante Exum,SG,31.5,34.5,10.75,2.88,3.19,
203927,C.J. Fair,SF,27.0,35.0,11.0,3.06,3.32,
203932,Aaron Gordon,PF,32.5,39.0,10.81,2.76,3.27,
203924,Jerami Grant,SF,,,,,,
203798,P.J. Hairston,SG,32.0,37.0,11.12,,3.32,
203914,Gary Harris,SG,,,,,,
203925,Joe Harris,SG,28.5,33.5,11.11,2.92,3.31,
203918,Rodney Hood,SF,29.0,36.0,11.21,3.14,3.38,
203928,Cory Jefferson,PF,33.0,37.5,12.63,3.39,3.36,
203910,Nick Johnson,SG,33.5,41.5,10.8,2.95,3.27,
203930,Sean Kilpatrick,SG,,,,,,
203945,Alex Kirk,PF,28.5,31.5,11.2,3.19,3.48,
203897,Zach LaVine,PG,33.5,41.5,10.42,2.8,3.19,
203906,Devyn Marble,SG,29.0,35.0,11.32,3.08,3.28,
203949,James McAdoo,PF,29.5,34.0,11.61,2.91,3.28,
203909,K.J. McDaniels,SF,33.0,37.0,12.71,3.2,3.1,
203926,Doug McDermott,SF,28.5,36.5,11.1,3.15,3.29,
203895,Jordan McRae,SG,27.5,34.5,11.07,3.15,3.39,
203894,Shabazz Napier,PG,30.5,37.5,11.6,3.13,3.2,
203948,Johnny O?Bryant III,PF,31.0,35.5,11.57,3.32,3.45,
203934,Lamar Patterson,SG,27.5,32.5,11.63,3.13,3.45,
203940,Adreian Payne,PF,,,,,,
203901,Elfrid Payton,PG,31.5,35.5,11.06,2.92,3.23,
203939,Dwight Powell,PF,28.5,35.0,11.28,2.88,3.2,
203944,Julius Randle,PF,29.0,35.5,11.45,3.14,3.27,
203922,Glenn Robinson III,SF,36.5,41.5,11.22,3.04,3.15,
203941,LaQuinton Ross,SF,25.0,31.0,11.97,3.52,3.44,
203935,Marcus Smart,PG,33.0,36.0,10.82,2.96,3.26,
203893,Russ Smith,PG,29.5,34.0,11.57,3.01,3.27,
203917,Nik Stauskas,SG,29.0,35.5,10.79,2.92,3.27,
203950,Jarnell Stokes,PF,31.0,36.0,11.92,3.2,3.26,
203904,Xavier Thames,PG,29.0,32.5,11.48,3.02,3.48,
203943,Noah Vonleh,PF,31.0,37.0,11.45,3.29,3.28,
203933,T.J. Warren,SF,27.0,35.5,11.1,3.04,3.26,
203912,C.J. Wilcox,SG,31.0,37.5,11.3,2.92,3.22,
203899,Kendall Williams,PG,27.0,33.0,10.83,2.85,,
203942,Patric Young,PF,32.0,37.5,11.18,3.06,3.43,
203923,James Young,SG,28.0,35.5,,,,
1626146,Cliff Alexander,PF-C,,,,,,
1626147,Justin Anderson,SF-SG,38.0,43.0,11.13,2.88,3.22,12
1626165,Brandon Ashley,PF,31.5,35.5,11.21,3.35,3.58,9
1626207,Ryan Boatright,PG,32.0,41.0,10.71,3.05,3.26,10
1626164,Devin Booker,SG,27.5,34.5,10.27,2.75,3.28,8
1626148,Anthony Brown,SF-SG,27.5,34.5,10.94,3.29,3.18,4
1626161,Willie Cauley-Stein,C,,,,,,
1626176,Rakeem Christmas,PF-C,29.0,32.0,11.6,3.3,3.47,9
1626192,Pat Connaughton,SG,37.5,44.0,10.58,3.08,3.2,13
1626188,Quinn Cook,PG,24.5,31.0,11.44,3.41,3.38,14
1626183,Branden Dawson,PF,28.5,34.5,12.22,3.53,3.2,12
1626155,Sam Dekker,SF,25.5,34.5,10.64,2.96,3.28,5
1626187,Michael Frazier II,SG,27.0,35.0,10.66,3.02,3.32,10
1626203,Treveon Graham,SF,28.5,31.5,11.64,3.15,3.3,11
1626170,Jerian Grant,PG,,,,,,
1626152,Olivier Hanlan,PG-SG,28.0,34.0,11.41,3.12,3.25,19
1626149,Montrezl Harrell,PF,,,,,,
1626150,Andrew Harrison,PG,26.5,33.0,11.2,,3.34,
1626151,Aaron Harrison,SG,28.5,34.5,,,3.27,1
1626227,Tyler Harvey,SG,26.0,28.5,10.56,2.93,3.44,1
1626186,Corey Hawkins,SG-PG,28.5,34.0,10.81,,3.51,9
1626178,Rondae Hollis-Jefferson,SF,32.0,38.0,10.41,3.19,3.12,13
1626158,Richaun Holmes,PF,32.5,36.0,11.24,3.31,3.32,15
1626182,Jonathan Holmes,PF-SF,25.5,31.0,10.95,3.12,3.51,
1626154,R.J. Hunter,SG,27.5,33.5,10.87,2.91,3.26,1
1626205,Vince Hunter,PF,33.5,37.5,11.19,3.06,3.26,13
1626177,Dakari Johnson,C,22.5,25.0,11.76,2.94,3.62,4
1626169,Stanley Johnson,SF,,,,,,
1626145,Tyus Jones,PG,26.5,32.5,11.84,2.95,3.32,2
1626163,Frank Kaminsky,C-PF,,,,,,
1626172,Kevon Looney,PF,,,,,,
1626168,Trey Lyles,PF,,,,,,
1626185,Jarell Martin,PF,28.5,35.0,11.2,2.97,3.27,19
204456,TJ McConnell,PG,26.0,31.5,10.95,3.09,3.3,7
1626191,Chris McCullough,PF,,,,,,
1626175,Jordan Mickey,PF,33.0,37.5,11.72,3.13,3.28,9
2006,Larry Nance,PF,29.0,37.5,10.93,3.01,3.25,10
1626162,Kelly Oubre,SF-SG,34.5,37.0,11.09,3.12,3.32,7
1626166,Cameron Payne,PG,29.75,35.5,10.9,2.93,3.28,0
1626189,Terran Petteway,SG,25.0,31.0,10.91,3.1,3.32,15
1626171,Bobby Portis,PF,25.0,31.5,11.78,3.28,3.56,5
1626181,Norman Powell,SG,32.5,40.5,10.69,3.2,3.2,5
1626180,Michael Qualls,SG-SF,34.0,39.5,11.88,,3.18,9
1626184,Chasson Randle,PG,33.5,39.5,10.63,2.81,3.2,6
1626179,Terry Rozier,PG-SG,33.0,38.0,10.84,2.84,3.15,7
1626156,D?Angelo Russell,PG-SG,,,,,,
1626208,Keifer Sykes,PG,34.0,43.0,10.47,3.15,3.13,8
1626194,Marcus Thornton,PG-SG,34.5,43.0,10.78,2.88,3.02,3
1626160,J.P. Tokoto,SF-SG,34.5,40.0,10.97,3.2,3.27,12
1626167,Myles Turner,C-PF,,,,,,
1626193,Robert Upshaw,C,,,,,,
1626173,Rashad Vaughn,SG,28.0,34.0,11.4,3.1,3.21,5
1626217,Chris Walker,PF,30.5,37.0,11.25,3.41,3.35,6
1627361,Dez Wells,SG,31.5,39.0,10.56,3.05,3.2,15
1626210,Alan Williams,PF,25.5,28.5,12.26,3.54,3.5,8
