PLAYER_ID,PLAYER_NAME,POSITION,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS,RANKING
1631094,Paolo Banchero,PF,,,,,,,1
1631096,Chet Holmgren,PF,,,,,,,1
1631099,Keegan Murray,PF,,,,,,,1
1631093,Jaden Ivey,PG,,,,,,,1
1631097,Bennedict Mathurin,SG,,,,,,,2
1631101,Shaedon Sharpe,SG,,,,,,,2
1630700,Dyson Daniels,SG,29.0,34.0,10.81,2.81,3.22,,2
1631110,Jeremy Sochan,PF,,,,,,,2
1631098,Johnny Davis,PG,,,,,,,2
1631172,Ousmane Dieng,SF,,,,,,,3
1631114,Jalen Williams,SG,33.5,39.0,11.13,3.17,3.11,,3
1631105,Jalen Duren,C,,,,,,,3
1630534,Ochai Agbaji,SG,32.0,39.0,10.77,3.11,3.13,,3
1631109,Mark Williams,C,,,,,,,3
1631100,AJ Griffin,SF,,,,,,,4
1631106,Tari Eason,PF,,,,,,,4
1631207,Dalen Terry,SG,,,,,,,4
1631222,Jake LaRavia,PF,27.5,34.0,10.58,2.89,3.37,,4
1631103,Malaki Branham,SG,29.0,35.0,11.38,3.09,3.17,,4
1631128,Christian Braun,SG,33.5,40.0,11.0,3.13,3.16,,5
1631117,Walker Kessler,C,,,,,,,5
1631223,David Roddy,PF,27.0,35.5,10.75,3.1,3.22,,5
1630699,MarJon Beauchamp,SG,,,,,,,5
1631104,Blake Wesley,SG,30.0,36.0,11.55,3.25,3.21,,5
1631107,Nikola Jovic,SF,,,,,,,6
1631116,Patrick Baldwin Jr.,SF,23.5,26.5,12.25,3.3,3.45,,6
1631102,TyTy Washington Jr.,SG,,,,,,,6
1631212,Peyton Watson,SF,28.0,33.5,11.03,3.24,3.28,,6
1629614,Andrew Nembhard,PG,26.5,35.0,10.46,3.02,3.26,,7
1631132,Christian Koloko,C,28.0,33.5,11.3,3.19,3.27,,7
1631119,Jaylin Williams,C,24.5,30.0,11.64,3.1,3.5,,7
1631108,Max Christie,SG,32.0,37.5,10.82,3.02,3.07,,7
1630629,Gabriele Procida,SG-SF,29.5,35.0,11.02,3.14,3.07,,8
1630702,Jaden Hardy,SG,,,,,,,8
1631113,Kennedy Chandler,PG,31.0,41.5,10.73,2.89,,,8
1631215,Khalifa Diop,C,,,,,,,8
1631121,Bryce McGowens,SG,29.5,34.0,11.12,3.16,3.27,,8
1630604,E.J. Liddell,PF,35.5,38.0,11.11,3.23,3.26,,9
1631211,Trevor Keels,SG,24.5,31.0,11.33,3.32,3.27,,9
1631217,Moussa Diabate,C,29.0,36.5,11.16,2.9,3.26,,9
1631157,Ryan Rollins,SG,30.5,36.5,11.26,3.28,3.07,,9
1631130,Ismael Kamagate,PF,,,,,,,10
1631112,Kendall Brown,SF,31.5,41.0,11.57,3.05,3.29,,10
1631164,Matteo Spagnolo,PG,25.5,31.5,11.42,3.16,3.4,,10
1631213,Tyrese Martin,SG-SF,,,,,,,11
1631120,JD Davison,PG,30.0,37.0,11.38,3.23,3.26,,11
1631133,Jabari Walker,PF,29.5,32.5,11.53,3.12,3.24,,12
1630656,Hugo Besson,SG,24.5,31.5,11.36,3.25,3.4,,12
