PLAYER_ID,PLAYER_NAME,POSITION,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS,RANKING
203932,Aaron Gordon,PF,32.5,39.0,10.81,2.76,3.27,,1
203957,Dante Exum,SG,31.5,34.5,10.75,2.88,3.19,,1
203935,Marcus Smart,PG,33.0,36.0,10.82,2.96,3.26,,2
203944,Julius Randle,PF,29.0,35.5,11.45,3.14,3.27,,2
203917,Nik Stauskas,SG,29.0,35.5,10.79,2.92,3.27,,2
203943,Noah Vonleh,PF,31.0,37.0,11.45,3.29,3.28,,2
203901,Elfrid Payton,PG,31.5,35.5,11.06,2.92,3.23,,2
203926,Doug McDermott,SF,28.5,36.5,11.1,3.15,3.29,,3
203897,Zach LaVine,PG,33.5,41.5,10.42,2.8,3.19,,3
203933,T.J. Warren,SF,27.0,35.5,11.1,3.04,3.26,,3
203940,Adreian Payne,PF,,,,,,,3
203923,James Young,SG,28.0,35.5,,,,,4
203898,Tyler Ennis,PG,29.0,36.0,11.12,2.84,3.3,,4
203914,Gary Harris,SG,,,,,,,4
203919,Jordan Adams,SG,24.5,29.5,12.13,3.05,3.5,,5
203918,Rodney Hood,SF,29.0,36.0,11.21,3.14,3.38,,5
203894,Shabazz Napier,PG,30.5,37.5,11.6,3.13,3.2,,5
203912,C.J. Wilcox,SG,31.0,37.5,11.3,2.92,3.22,,6
203937,Kyle Anderson,SF,,,,,,,6
203925,Joe Harris,SG,28.5,33.5,11.11,2.92,3.31,,7
203921,Cleanthony Early,SF,34.0,40.0,11.15,2.96,3.18,,7
203950,Jarnell Stokes,PF,31.0,36.0,11.92,3.2,3.26,,7
203908,DeAndre Daniels,SF,26.5,32.0,11.46,3.04,3.44,,8
203915,Spencer Dinwiddie,PG,,,,,,,8
203924,Jerami Grant,SF,,,,,,,8
203922,Glenn Robinson III,SF,36.5,41.5,11.22,3.04,3.15,,8
203910,Nick Johnson,SG,33.5,41.5,10.8,2.95,3.27,,9
203900,Markel Brown,SG,36.5,43.5,12.62,2.9,3.18,,9
203939,Dwight Powell,PF,28.5,35.0,11.28,2.88,3.2,,9
203903,Jordan Clarkson,PG,33.0,38.5,10.76,2.98,3.28,,10
203893,Russ Smith,PG,29.5,34.0,11.57,3.01,3.27,,10
203934,Lamar Patterson,SG,27.5,32.5,11.63,3.13,3.45,,10
203946,Cameron Bairstow,PF,31.0,33.5,11.39,3.09,3.37,,10
203938,Alec Brown,PF,27.0,30.0,12.05,2.91,3.48,,10
203648,Thanasis Antetokounmpo,SF,31.5,39.5,11.39,3.05,3.18,,11
203902,Semaj Christon,PG,30.5,36.5,11.55,3.21,3.32,,11
203906,Devyn Marble,SG,29.0,35.0,11.32,3.08,3.28,,12
203895,Jordan McRae,SG,27.5,34.5,11.07,3.15,3.39,,12
203904,Xavier Thames,PG,29.0,32.5,11.48,3.02,3.48,,12
203928,Cory Jefferson,PF,33.0,37.5,12.63,3.39,3.36,,12
