PLAYER_ID,PLAYER_NAME,POSITION,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS,RANKING
1630188,Jalen Smith,PF-C,,,,,,,2
1630191,Isaiah Stewart,C,,,,,,,4
1630182,Josh Green,SG-SF,30.5,39.5,10.64,2.28,3.12,,4
1630173,Precious Achiuwa,PF,,,,,,,4
1630192,Zeke Nnaji,PF-C,33.0,38.0,10.94,2.72,3.2,,5
1630193,Immanuel Quickley,SG,29.5,35.5,11.21,2.46,3.17,,5
1628962,Udoka Azubuike,C,37.0,41.0,11.82,3.61,3.23,,6
1630179,Tyrell Terry,PG,30.0,34.0,10.78,2.59,3.28,,7
1630177,Theo Maledon,PG,,,,,,,7
1630189,Tyler Bey,PF,37.0,43.5,11.35,2.75,3.17,,8
1630190,Elijah Hughes,SF-SG,,,,,,,8
1630218,Robert Woodard II,SF,32.0,38.0,11.1,2.49,3.18,,8
1630208,Nick Richards,C,30.0,34.0,11.42,2.92,3.25,,9
1630186,Jahmi'us Ramsey,SG,,,,,,,9
1629670,Jordan Nwora,SF-PF,29.0,35.0,11.29,2.66,3.43,,9
1629604,CJ Elleby,SG-SF,30.5,36.5,11.25,2.63,3.25,,10
1630198,Isaiah Joe,SG,,,,,,,10
1630219,Skylar Mays,SG,29.0,37.5,10.65,2.4,3.3,,10
1630231,Kenyon Martin Jr.,SF-PF,31.5,38.5,11.93,2.58,3.16,,11
1630216,Cassius Winston,PG,24.0,28.0,11.15,2.74,3.61,,11
1630199,Cassius Stanley,SG,34.5,44.0,11.4,2.43,3.09,,11
1630203,Grant Riller,PG-SG,32.5,39.5,11.17,2.45,3.07,,12
1629617,Reggie Perry,PF-C,30.0,33.5,11.26,2.57,3.25,,12
1630223,Jalen Harris,SG,37.5,42.5,10.59,2.49,3.11,,12
