PLAYER_ID,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN_FT_IN,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,RANKING
1626161,Willie Cauley-Stein,C,6' 11.25'',7' 0.5'',242.4,7' 3'',9' 3'',6.3,9.5,9.0,2
1626169,Stanley Johnson,SF,6' 5'',6' 6.5'',241.8,6' 11.5'',8' 6'',7.5,9.0,9.0,2
1626163,Frank Kaminsky,C-PF,6' 11.75'',7' 0.75'',231.2,6' 11'',9' 1.5'',9.4,8.5,9.5,2
1626159,Justise Winslow,SF,6' 4.5'',6' 6.5'',221.8,6' 10.25'',8' 8.5'',5.3,8.5,9.25,2
1626167,Myles Turner,C-PF,6' 9.75'',6' 11.5'',238.6,7' 4'',9' 4'',9.3,9.25,9.25,3
1626168,Trey Lyles,PF,6' 9'',6' 10.25'',241.2,7' 1.5'',9' 0'',12.1,9.25,10.25,3
1626164,Devin Booker,SG,6' 4.5'',6' 5.75'',205.8,6' 8.25'',8' 6.5'',8.3,8.75,9.0,3
1626166,Cameron Payne,PG,6' 0.75'',6' 1.5'',182.8,6' 7.25'',8' 1.5'',6.3,8.5,8.25,3
1626179,Terry Rozier,PG-SG,6' 0.5'',6' 2.25'',190.2,6' 8.25'',8' 2.5'',5.6,8.25,8.5,4
1626173,Rashad Vaughn,SG,6' 3.75'',6' 5'',198.6,6' 7'',8' 5'',6.2,8.0,8.5,4
1626155,Sam Dekker,SF,6' 7.75'',6' 9'',218.6,6' 11.5'',8' 10'',7.5,8.5,9.25,4
1626170,Jerian Grant,PG,6' 3.25'',6' 4.25'',198,6' 7.5'',8' 4'',5.6,8.25,8.5,4
1626153,Delon Wright,PG,6' 4.25'',6' 5.5'',181.4,6' 7.5'',8' 5.5'',6.6,8.0,8.5,4
1626147,Justin Anderson,SF-SG,6' 5.25'',6' 6.25'',230.6,6' 11.75'',8' 5'',5.0,8.5,9.5,5
1626171,Bobby Portis,PF,6' 9.5'',6' 10.5'',246.2,7' 2'',9' 0.5'',8.9,9.5,9.25,5
1626178,Rondae Hollis-Jefferson,SF,6' 5.5'',6' 7'',210.8,7' 2'',8' 8'',5.0,8.75,9.75,5
1626145,Tyus Jones,PG,6' 0.5'',6' 2'',184.6,6' 5'',8' 1'',6.5,8.25,8.75,5
1626185,Jarell Martin,PF,6' 8'',6' 9.25'',238.6,6' 9'',8' 10.5'',10.1,8.25,9.5,5
1626191,Chris McCullough,PF,6' 8.25'',6' 9'',199,7' 3.25'',9' 1'',6.2,8.75,8.75,6
1626172,Kevon Looney,PF,6' 8'',6' 9.25'',222.4,7' 3.5'',9' 2'',11.9,9.5,9.25,6
1626149,Montrezl Harrell,PF,6' 7'',6' 7.5'',253.4,7' 4.25'',9' 1'',11.9,9.0,9.75,7
1626175,Jordan Mickey,PF,6' 7'',6' 8.25'',238,7' 3.25'',8' 10'',7.2,8.75,9.5,7
1626148,Anthony Brown,SF-SG,6' 5.75'',6' 7.25'',211,6' 11'',8' 8.5'',6.1,8.5,9.0,7
1626176,Rakeem Christmas,PF-C,6' 8.25'',6' 9.75'',242.6,7' 5.25'',9' 2.5'',9.6,9.25,9.0,8
1626158,Richaun Holmes,PF,6' 8.25'',6' 9.5'',242.8,7' 1.5'',9' 0'',8.8,8.5,8.5,8
1626192,Pat Connaughton,SG,6' 4'',6' 5.25'',215,6' 8'',8' 0'',10.2,8.5,9.25,9
1626152,Olivier Hanlan,PG-SG,6' 3.25'',6' 4.25'',185.8,6' 6'',8' 4'',4.3,8.0,8.75,9
1626150,Andrew Harrison,PG,6' 4.5'',6' 5.5'',213.2,6' 9'',8' 4'',5.9,8.25,9.25,9
1626194,Marcus Thornton,PG-SG,6' 1.75'',6' 2.75'',177.4,6' 7.75'',8' 1.5'',5.3,8.25,8.5,9
1626181,Norman Powell,SG,6' 3'',6' 4.25'',215.4,6' 10.75'',8' 6.5'',6.4,9.25,9.0,10
1626177,Dakari Johnson,C,6' 11'',6' 11.75'',264.6,7' 2'',9' 4'',14.9,9.25,10.5,10
1626227,Tyler Harvey,SG,6' 2.75'',6' 4'',181.4,6' 5.5'',8' 2.5'',9.2,7.75,8.75,11
1626183,Branden Dawson,PF,6' 5.5'',6' 6.75'',230.2,6' 11'',8' 9'',5.8,9.0,8.75,12
