PLAYER_ID,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN_FT_IN,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,RANKING
1629027,Trae Young,PG,6' 0.5'',6' 1.75'',177.8,6' 3'',7' 11.5'',5.35,8.0,9.25,1
1629012,Collin Sexton,PG,6' 0.5'',6' 1.5'',183,6' 7.25'',8' 2.5'',5.6,8.25,8.5,2
1628983,Shai Gilgeous-Alexander,PG,6' 4.5'',6' 6'',180,6' 11.5'',8' 8'',3.0,9.0,9.0,3
1628970,Miles Bridges,SF,6' 5.25'',6' 6.75'',220.4,6' 9.5'',8' 7.5'',5.9,9.0,9.75,3
1629010,Jerome Robinson,SG,6' 4'',6' 5'',188.4,6' 7.25'',8' 2'',6.05,9.0,10.0,3
1629015,Zhaire Smith,SF-SG,6' 2.75'',6' 4'',198.6,6' 9.75'',8' 4'',6.05,8.75,8.25,4
1628978,Donte DiVincenzo,SG,6' 3.5'',6' 4.5'',200.6,6' 6'',8' 1.5'',5.0,8.25,9.0,4
1628989,Kevin Huerter,SG,6' 6.25'',6' 7.25'',194,6' 7.5'',8' 5.5'',8.6,8.25,8.5,4
1629006,Josh Okogie,SG,6' 3'',6' 4.5'',210.8,7' 0'',8' 6'',5.2,9.0,9.75,4
1628960,Grayson Allen,SG,6' 3'',6' 4.5'',198,6' 7.25'',8' 1'',5.55,8.25,10.0,5
1628988,Aaron Holiday,PG,5' 11.75'',6' 0.75'',187,6' 7.5'',8' 1'',6.4,8.75,8.5,5
1629014,Anfernee Simons,SG-PG,6' 2.25'',6' 3.25'',183.2,6' 9.25'',8' 3.5'',7.7,8.75,9.0,5
1629021,Moritz Wagner,C-PF,6' 10.5'',6' 11.5'',241.4,7' 0'',9' 0'',6.75,9.0,10.75,5
1629013,Landry Shamet,PG,6' 4'',6' 5.25'',188.6,6' 6.75'',8' 4'',4.85,8.0,9.0,6
1628980,Jacob Evans,SG-SF,6' 4.25'',6' 5.5'',199.6,6' 9.25'',8' 6.5'',6.5,9.0,9.25,6
1629016,Omari Spellman,PF-C,6' 8'',6' 9.25'',253.8,7' 2'',8' 11.5'',13.75,9.0,9.0,6
1628975,Jevon Carter,PG,6' 0.25'',6' 1.5'',196.2,6' 4.25'',7' 11'',4.15,9.25,8.5,7
1628973,Jalen Brunson,PG,6' 1'',6' 2.25'',198.4,6' 4'',8' 0'',6.7,8.25,9.25,7
1629017,Khyri Thomas,SG,6' 2.5'',6' 3.75'',198.8,6' 10.5'',8' 5'',6.4,8.75,9.25,8
1628971,Bruce Brown,SG-PG,6' 3.5'',6' 5'',194.6,6' 9'',8' 2.5'',3.75,8.5,8.5,9
1628992,Justin Jackson,PF,6' 6'',6' 6.75'',229.4,7' 3'',8' 9'',8.9,9.0,9.5,9
1628977,Hamidou Diallo,SG,6' 4.25'',6' 6'',197,6' 11.5'',8' 7'',4.45,8.75,9.0,9
1628966,Keita Bates-Diop,SG-SF,6' 7.25'',6' 8.5'',223.8,7' 3.25'',8' 10.5'',5.35,9.0,8.5,10
1629002,Chimezie Metu,PF-C,6' 8.5'',6' 9.5'',219.6,7' 0.5'',9' 0'',5.05,9.0,9.25,10
1628993,Alize Johnson,PF,6' 7.25'',6' 8'',216.6,6' 8.75'',8' 7'',8.1,8.5,9.75,10
1628974,Tony Carr,PG,6' 3'',6' 4.5'',198.8,6' 8.25'',8' 4'',6.5,8.5,9.75,11
1628985,Devon Hall,SG,6' 4.25'',6' 6'',206.4,6' 7.75'',8' 6'',8.45,8.5,10.0,11
1629003,Shake Milton,SG-PG,6' 4.5'',6' 5.5'',207.2,7' 0.75'',8' 3.5'',6.8,8.75,9.5,11
1629034,Ray Spalding,PF,6' 9'',6' 10.25'',215.4,7' 4.75'',9' 1'',5.55,9.25,9.0,12
1628987,Kevin Hervey,PF,6' 6.5'',6' 7.75'',211.6,7' 3.5'',8' 11'',5.15,9.25,10.25,12
1628994,George King,SF-SG,6' 4.75'',6' 6'',218.6,6' 11.5'',8' 5.5'',7.25,9.0,10.25,12
1628961,Kostas Antetokounmpo,PF,6' 9'',6' 10.5'',194.8,7' 2.25'',9' 2'',5.0,9.25,9.5,12
