PLAYER_ID,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN_FT_IN,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,RANKING
1629627,Zion Williamson,PF,,,,,,,,,1
1629630,Ja Morant,PG,,,,,,,,,1
1629628,RJ Barrett,SF,,,,,,,,,1
1629631,De'Andre Hunter,,,,,,,,,,1
1629636,Darius Garland,PG,,,,,,,,,1
1629633,Jarrett Culver,SG,6' 5.25'',6' 6.75'',194.2,6' 9.5'',8' 4.5'',5.0,8.25,8.5,2
1629632,Coby White,PG,6' 3.5'',6' 4.75'',191.4,6' 5'',8' 1.5'',4.3,7.75,9.0,2
1629637,Jaxson Hayes,PF,6' 10.25'',6' 11.5'',218.6,7' 3.5'',9' 2.5'',5.0,9.25,10.5,2
1629661,Cameron Johnson,SG,6' 7'',6' 8.5'',205.2,6' 10'',8' 7'',5.8,8.0,8.5,3
1629023,P.J. Washington,PF,6' 6.5'',6' 8'',230.4,7' 2.25'',8' 10.5'',8.6,9.0,10.25,3
1629639,Tyler Herro,SG,6' 4.5'',6' 6'',192.4,6' 3.25'',8' 4.5'',7.1,8.0,8.75,3
1629641,Romeo Langford,SG,6' 4.5'',6' 6'',,6' 11'',8' 7'',,9.0,9.0,3
1629643,Chuma Okeke,,,,,,,,,,4
1629638,Nickeil Alexander-Walker,SG,6' 4.25'',6' 5.5'',203.8,6' 9.5'',8' 6'',5.9,8.5,8.75,4
1629677,Luka Samanic,PF,6' 9.5'',6' 11'',227.2,6' 10.5'',8' 11'',5.6,8.5,9.0,4
1629634,Brandon Clarke,SF,6' 7.25'',6' 8.25'',207.2,6' 8.25'',8' 6'',4.9,8.25,9.5,5
1629684,Grant Williams,PF,6' 5.75'',6' 7.5'',240.2,6' 9.75'',8' 8.5'',5.4,9.0,10.5,5
1629647,Darius Bazley,PF,6' 7.75'',6' 9'',208.4,7' 0'',8' 11'',3.6,9.0,9.75,5
1629660,Ty Jerome,PG,6' 4.25'',6' 5.5'',194.4,6' 4'',8' 2'',6.5,8.25,9.5,5
1629642,Nassir Little,SF,6' 4.5'',6' 6'',224.2,7' 1.25'',8' 8.5'',5.9,8.75,10.0,5
1629685,Dylan Windler,SF,6' 6.25'',6' 7.5'',195.8,6' 10'',8' 8.5'',4.6,8.25,9.5,6
1629662,Mfiondu Kabengele,PF,6' 8.75'',6' 10.25'',256.2,7' 3'',9' 1.5'',5.1,9.25,10.75,6
1629673,Jordan Poole,SG,6' 3.5'',6' 5.5'',190.8,6' 6.75'',8' 3.5'',7.5,8.25,8.5,6
1629640,Keldon Johnson,SG,6' 4.75'',6' 6'',216.4,6' 9.25'',8' 8'',5.6,8.0,9.25,6
1629645,Kevin Porter Jr.,SG,6' 4'',6' 5.5'',212.6,6' 9'',8' 7'',5.1,8.75,8.75,6
1629644,KZ Okpala,SF,6' 7.25'',6' 9.5'',209.6,7' 1.75'',8' 10.5'',4.6,9.25,9.25,7
1629654,Carsen Edwards,PG,5' 10.75'',6' 0.25'',199.4,6' 6'',7' 10.5'',5.5,8.75,9.0,7
1628981,Bruno Fernando,C,6' 8.75'',6' 10.25'',237,7' 3.25'',9' 2'',5.4,9.25,10.0,7
1628998,Cody Martin,PG-SG,6' 4.75'',6' 5.5'',192.2,6' 10.25'',8' 6.5'',5.0,8.25,9.0,8
1629655,Daniel Gafford,PF,6' 9.25'',6' 10.5'',237.6,7' 2.25'',9' 2'',5.9,9.25,9.25,8
1629672,Eric Paschall,SF,6' 6'',6' 7.25'',254.4,6' 11.75'',8' 7.5'',6.3,9.0,9.5,9
1629678,Admiral Schofield,SF,6' 4'',6' 5.25'',240.6,6' 9.75'',8' 6.5'',6.8,8.75,9.0,9
1629669,Jaylen Nowell,SG,6' 3.25'',6' 4.25'',202.4,6' 7.25'',8' 2'',6.1,8.25,8.5,9
1629626,Bol Bol,C,7' 0.75'',7' 2.5'',208,7' 7'',9' 7.5'',7.1,9.25,9.5,9
1629676,Isaiah Roby,PF,6' 7.25'',6' 8.5'',214,7' 1'',8' 10'',3.9,9.0,10.5,9
