PLAYER_ID,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN_FT_IN,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH
1631215,Khalifa Diop,C,,,,,,,,
1631105,Jalen Duren,C,,,,,,,,
1631106,Tari Eason,PF,6' 6.75'',6' 8.00'',217.40,7' 2.00'',8' 11.50'',5.9,9.25,11.0
1631165,Keon Ellis,SG,6' 3.50'',6' 4.75'',167.40,6' 8.50'',8' 6.00'',3.8,8.0,9.25
1630701,Michael Foster Jr.,C,6' 7.75'',6' 9.25'',236.60,7' 0.25'',9' 1.50'',6.2,8.75,10.0
1631221,Collin Gillespie,PG,6' 1.50'',6' 2.75'',195.80,6' 4.00'',8' 2.00'',8.6,8.25,9.0
1631100,AJ Griffin,SF,,,,,,,,
1630702,Jaden Hardy,SG,,,,,,,,
1631199,Ron Harper Jr.,SF,6' 4.00'',6' 5.50'',240.40,7' 1.25'',8' 9.50'',14.3,9.5,10.0
1631096,Chet Holmgren,PF,,,,,,,,
1631127,Harrison Ingram,SF,6' 5.25'',6' 7.00'',232.80,7' 0.25'',8' 7.50'',8.3,9.0,10.0
1631093,Jaden Ivey,PG,,,,,,,,
1631218,Trayce Jackson-Davis,C,,,,,,,,
1631107,Nikola Jovic,SF,6' 9.50'',6' 11.00'',222.60,7' 0.25'',9' 0.50'',7.4,8.75,9.75
1630548,Johnny Juzang,SG,6' 5.25'',6' 6.50'',208.60,6' 11.00'',8' 6.50'',7.5,8.5,9.5
1631130,Ismael Kamagate,PF,,,,,,,,
1631211,Trevor Keels,SG,6' 3.25'',6' 4.75'',223.80,6' 7.25'',8' 5.00'',13.5,8.25,9.0
1631117,Walker Kessler,C,7' 0.25'',7' 1.00'',256.00,7' 4.25'',9' 5.00'',14.7,8.5,8.5
1631132,Christian Koloko,C,6' 10.75'',7' 0.00'',221.00,7' 5.25'',9' 5.00'',5.7,9.0,10.75
1631222,Jake LaRavia,PF,6' 6.75'',6' 8.00'',227.20,6' 9.50'',8' 8.00'',9.0,8.5,10.25
