PLAYER_ID,PLAYER_NAME,POSITION,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS,RANKING
1628365,Markelle Fultz,PG,,,,,,,1
1628380,Zach Collins,PF-C,,,,,,,2
1628379,Luke Kennard,SG-SF,,,,,,,3
1628378,Donovan Mitchell,SG,36.5,40.5,11.53,3.07,3.01,10,3
1628383,Justin Patton,C,26.0,30.5,11.8,3.31,3.46,,4
1628391,D.J. Wilson,PF,,,,,,,4
1628381,John Collins,PF,33.0,37.5,11.66,3.27,3.27,15,4
1628390,Terrance Ferguson,SG-SF,28.5,38.0,11.16,3.22,3.32,,5
1628386,Jarrett Allen,C,31.5,35.5,11.82,3.0,3.21,4,5
1628399,Tyler Lydon,PF,29.5,33.5,11.68,2.81,3.46,1,5
1628403,Caleb Swanigan,PF,,,,,,,6
1628398,Kyle Kuzma,SF-SG,27.0,34.0,10.72,2.98,3.25,12,6
1628396,Tony Bradley,C,24.5,27.5,11.79,2.99,3.44,5,6
1628401,Derrick White,PG,31.0,36.5,10.84,2.92,3.08,10,6
1628404,Josh Hart,SG-SF,27.5,35.5,11.15,3.02,3.18,9,6
1628402,Frank Jackson,PG,34.5,42.0,10.94,2.7,3.14,9,7
1628432,Davon Reed,SG-SF,28.5,36.0,11.37,3.21,3.34,12,7
1628412,Frank Mason III,PG,34.0,41.0,11.41,3.09,3.18,15,7
1628397,Ivan Rabb,PF,28.5,32.5,12.68,3.23,3.35,3,7
1628400,Semi Ojeleye,SF-SG,35.0,40.5,10.58,3.07,3.16,19,8
1628395,Jordan Bell,PF,31.5,38.0,10.63,2.83,3.21,16,8
1628393,Jawun Evans,PG,27.5,33.5,11.34,3.26,3.21,1,8
1628407,Dwayne Bacon,SG-SF,30.0,36.5,11.7,3.22,3.22,8,8
1628416,Tyler Dorsey,SG,30.5,36.0,10.55,2.98,3.16,8,9
1628418,Thomas Bryant,PF-C,25.5,33.0,11.42,3.12,3.37,7,9
1628422,Damyean Dotson,SG-SF,31.5,38.0,11.18,3.03,3.13,13,9
1628415,Dillon Brooks,SG-SF,31.0,37.5,11.14,3.24,3.21,16,9
1628387,Ike Anigbogu,C,29.5,32.5,12.52,3.48,3.44,11,10
1628414,Sindarius Thornwell,SG-SF,27.0,30.5,11.48,3.03,3.36,15,10
1628420,Monte Morris,PG,28.0,33.5,11.0,3.2,3.19,8,11
1628410,Edmond Sumner,PG,,,,,,,11
1628443,Kadeem Allen,PG,33.0,35.5,11.24,2.98,3.15,7,11
1628409,Alec Peters,PF,,,,,,,11
1628430,Nigel Williams-Goss,PG,27.5,34.5,10.42,3.08,3.19,10,11
1628417,Jaron Blossomgame,SF,31.0,35.5,11.47,3.35,3.17,16,12
