PLAYER_ID,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN_FT_IN,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,RANKING
1628365,Markelle Fultz,PG,,,,,,,,,1
1628380,Zach Collins,PF-C,6' 10.25'',7' 0'',232.2,7' 1'',9' 3'',8.9,8.75,9.25,2
1628379,Luke Kennard,SG-SF,6' 4.5'',6' 5.5'',196.2,6' 5.25'',8' 2.5'',6.6,8.0,8.75,3
1628378,Donovan Mitchell,SG,6' 1.25'',6' 3'',211.4,6' 10'',8' 1'',5.9,8.5,9.5,3
1628383,Justin Patton,C,6' 10'',6' 11.25'',229,7' 3'',9' 3.5'',7.8,8.75,9.75,4
1628391,D.J. Wilson,PF,6' 8.75'',6' 10.5'',234.4,7' 3'',9' 1.5'',6.4,9.25,10.25,4
1628381,John Collins,PF,6' 8.25'',6' 9.5'',225.2,6' 11.25'',8' 10.5'',5.4,9.0,10.0,4
1628390,Terrance Ferguson,SG-SF,6' 5.5'',6' 7'',184.4,6' 8.75'',8' 7'',5.8,8.5,10.0,5
1628386,Jarrett Allen,C,6' 9'',6' 10.25'',233.6,7' 5.25'',9' 1.5'',7.4,9.5,10.5,5
1628399,Tyler Lydon,PF,6' 8.25'',6' 9.5'',215,7' 0'',8' 11.5'',13.6,8.75,8.75,5
1628403,Caleb Swanigan,PF,6' 7.5'',6' 8.5'',245.6,7' 3'',9' 0'',,9.5,10.25,6
1628398,Kyle Kuzma,SF-SG,6' 8'',6' 9.5'',222.6,7' 0.25'',8' 11.5'',9.4,8.5,9.5,6
1628396,Tony Bradley,C,6' 9.25'',6' 10.75'',248.8,7' 5'',9' 4.5'',12.0,9.5,9.5,6
1628401,Derrick White,PG,6' 3.25'',6' 4.5'',189.8,6' 7.5'',8' 5.5'',6.2,8.25,8.5,6
1628404,Josh Hart,SG-SF,6' 3.75'',6' 5'',209.2,6' 8.25'',8' 5'',5.8,8.5,9.5,6
1628402,Frank Jackson,PG,6' 2'',6' 3.5'',201.6,6' 7.5'',8' 2'',6.7,8.25,9.0,7
1628432,Davon Reed,SG-SF,6' 4.5'',6' 5.5'',206.2,7' 0'',8' 6'',6.5,9.25,9.5,7
1628412,Frank Mason III,PG,5' 11'',6' 0'',188.8,6' 3.25'',7' 10'',4.3,8.0,9.25,7
1628397,Ivan Rabb,PF,6' 8.75'',6' 10'',219.6,7' 1.5'',9' 1'',6.8,8.75,9.0,7
1628400,Semi Ojeleye,SF-SG,6' 5.25'',6' 6.75'',241.4,6' 9.75'',8' 6'',5.5,8.75,9.5,8
1628395,Jordan Bell,PF,6' 7'',6' 8.5'',223.6,6' 11.75'',8' 8.5'',5.4,9.25,9.5,8
1628393,Jawun Evans,PG,5' 10.75'',5' 11.5'',185.2,6' 5.5'',7' 11'',9.1,8.0,7.75,8
1628407,Dwayne Bacon,SG-SF,6' 4.75'',6' 6.25'',221.6,6' 10'',8' 7.5'',7.9,8.75,10.0,8
1628416,Tyler Dorsey,SG,6' 3'',6' 4.5'',182.6,6' 5.25'',8' 3.5'',4.7,8.5,9.25,9
1628418,Thomas Bryant,PF-C,6' 9.5'',6' 10.75'',247.8,7' 6'',9' 4.5'',9.4,9.5,10.25,9
1628422,Damyean Dotson,SG-SF,6' 4.5'',6' 5.5'',205.2,6' 9'',8' 4'',5.3,8.5,9.25,9
1628415,Dillon Brooks,SG-SF,6' 5'',6' 6'',220.2,6' 6'',8' 4.5'',7.5,8.25,9.25,9
1628387,Ike Anigbogu,C,6' 8.5'',6' 9.75'',252.2,7' 6.25'',9' 2.5'',5.4,9.5,10.0,10
1628414,Sindarius Thornwell,SG-SF,6' 3.5'',6' 4.75'',211.6,6' 10'',8' 7'',7.8,8.75,8.75,10
1628420,Monte Morris,PG,6' 1.25'',6' 2.5'',175.2,6' 4'',8' 0.5'',6.9,8.25,8.75,11
1628410,Edmond Sumner,PG,6' 4'',6' 5.75'',176.4,6' 9'',8' 6.5'',8.3,8.25,9.0,11
1628443,Kadeem Allen,PG,6' 1'',6' 2.25'',192.4,6' 9.25'',8' 3.5'',6.4,8.5,8.75,11
1628409,Alec Peters,PF,6' 7.25'',6' 8.75'',232,6' 10.75'',8' 9'',8.8,8.75,10.0,11
1628430,Nigel Williams-Goss,PG,6' 1.5'',6' 3'',190.2,6' 7.25'',8' 3'',5.6,8.75,9.25,11
1628417,Jaron Blossomgame,SF,6' 5.75'',6' 6.75'',218.6,6' 10'',8' 8.5'',5.7,8.75,10.25,12
